name,date,leben,lengthleben,idn,iplace,ibio,url
"Jacobi, Eugen",1877 bis 1933,"Die von seinem Vater in Straßburg zusammen mit den Familien Wolf und Netter gegründete Metallhandlung, die im Elsaß und in Baden eigene Produktionsstätten aufbaute, bestimmte J.s Lebensweg. Er studierte an den Technischen Hochschulen Darmstadt und Berlin Bauingenieurwesen und Eisenhüttenkunde. Der junge Diplom-Ingenieur sammelte dann auf längeren Studienreisen in England, Schottland und den USA praktische Erfahrungen. 1905 trat er als  technischer Leiter der Blechwalzwerke in Straßburg in die väterliche Firma ein. Er übernahm auch die Konstruktionswerkstatt. Im 1. Weltkrieg hat er bei der Fortifikation von Straßburg mitgewirkt und sich dann in der Rüstungsindustrie des Elsaß betätigt. 1918 wurden die Betriebe der Firma enteignet. Der aus der Heimat Vertriebene übersiedelte nach Frankfurt/|Main, wo er studierte und 1922 zum Dr. rer. pol. promoviert wurde. Von hier aus baute er mit seinem Bruder Paul und Mitgliedern der Familie Netter den Metallhandel der OHG Wolf, Netter & Jacobi neu auf und entwickelte aus den rechtsrhein. Betriebsteilen in Brühl und Hausach durch Hinzunahme der Eisenwerke in Berlin-Adlershof die 1924 gegründete Wolf, Netter & Jacobi-Werke KG a. A., in die auch Betriebe in Leipzig, Langschede/Ruhr, Christianshütte/Westf. und Finnentrop, die die OHG erworben hatte, eingebracht wurden. So entstand eine Gruppe von Blechwalzwerken, Verzinkereien, Wellblechfabriken und Unternehmen für den Eisenhoch- und Brückenbau, den Bau von Stahlmöbeln und die Blechbearbeitung, die, vertikal wie horizontal integriert, eine breite Palette von Metallprodukten herstellten und so eine gute Risikoverteilung sicherten. Das Unternehmen, das 1932 2 500 Mitarbeiter beschäftigte, brachte selbst in den Jahren der Weltwirtschaftskrise eine gleichbleibende Dividende. Seit 1926 besaß es auch die Majorität der Butzke–Bernhard Joseph AG in Berlin und schloß 1927 eine langjährige Interessengemeinschaft mit der Hoesch AG in Dortmund ab.1938 erwarben die Mannesmann-Röhrenwerke AG die Wolf, Netter & Jacobi-Werke und führten sie als Mannesmann-Stahlblechbau AG weiter. Die OHG Wolf, Netter & Jacobi in Frankfurt wurde 1938 liquidiert. Dieses durch die NSDAP erzwungene Ende seines Lebenswerkes erlebte J. nicht mehr. Für seine soziale Gesinnung war kennzeichnend, daß er in seiner Dissertation für die Bestellung von gleichberechtigten Arbeitsdirektoren in den Vorständen der Unternehmen bei paritätischer Mitbestimmung der Arbeitnehmer in allen sozialen Fragen und bei der Lohnfestsetzung sowie für einen nach Maßgabe der Dividenden sich erhöhenden Lohnausgleichsfonds als Krisensicherung plädierte. J. hat sich als Handelsgerichtsrat und  Vorstandsmitglied der Deutsch-Türk. wie der Deutsch-Ital. Handelskammer in Frankfurt sowie im Hauptausschuß des Reichsverbandes der Deutschen Industrie und des Verbandes südwestdeutscher Industrieller betätigt. Seiner alten Heimat hat er als Mitgründer und Förderer des Elsaß-Lothringen-Instituts an der Univ. Frankfurt, die ihm dafür zu ihren Ehrenbürger ernannte, gedacht.",3028,138716390,1,1,http://www.deutsche-biographie.de/sfz70235.html
"Glöckner, Gottfried",1861 bis 1932,"Nach dem Besuch der Stadtschule in Calbe und des Pädagogiums zum Kloster „Unserer Lieben Frauen“ in Magdeburg (1873–80) studierte G. bis 1883 Theologie, Philosophie und Pädagogik in Leipzig. Während das „Leipziger Dreigestirn“ (Kahnis, Luthardt, Delitzsch) G.s Theologie begründete, führten ihn Drobisch und Ziller in Kants und Herbarts Gedankenwelt ein, welche letztere ihn in ihrer nüchternen Besonnenheit und klaren Schärfe besonders anzog. Schon 1881 trat er in Zillers pädagogisches Seminar ein und war 1882-83 Klassenlehrer an dessen Übungsschule. Nach Beendigung seiner theologischen Studien in Halle war er 1884-86 Rektor der Volksschule in Hundisburg bei Magdeburg. Während dieser Zeit legte er mit sehr gutem Erfolge die beiden theologischen Prüfungen und die Rektoratsprüfung ab. 1886 setzte er seine philosophischen und pädagogischen Studien in Leipzig fort (1888 Dissertation: Über den Gottesbegriff bei Leibniz, 1889 Habilitationsschrift: Das Ideal der Bildung und Erziehung bei Erasmus von Rotterdam). Als Privatdozent in Leipzig las er 1890-94 über systematische und historische Pädagogik und pädagogische Psychologie. Da er in seiner psychologischen Vorlesung aus der Perspektive von Herbarts Assoziationspsychologie|Wundts voluntaristische Apperzeptionspsychologie wegen ihres Rückfalls in die alte Vermögenspsychologie angriff, wurde nicht er, sondern der pädagogisch damals noch gar nicht hervorgetretene Johann Volkelt 1893 der Nachfolger von Hermann Masius. G. gab daraufhin seine akademische Tätigkeit auf und diente fortan der Kirche. 1894-1910 entfaltete er als Pfarrer der deutschen evangelischen Gemeinde in Helsingfors eine segensreiche Wirksamkeit, zu der auch die Leitung der deutschen Schule in Helsingfors gehörte. Wegen seiner Mitwirkung an den von der theologischen Fakultät der Universität Helsingfors veranstalteten Arbeitsgemeinschaften verlieh diese ihm 1907 die Würde eines Ehrendoktors der Theologie. 1910 kehrte G. nach Deutschland zurück, um im Kirchenkreise Barleben bei Magdeburg geistliche Ämter zu übernehmen. Nach kürzerer Tätigkeit als Pfarrer in Hermsdorf und Eichenbarleben wurde er 1916 wegen seiner theologischen Überlegenheit und vorbildlichen Amtsführung, die bei seiner Erzieher- und Lehrgabe sich auch auf die Gemeinde- und Jugendpflege erstreckte, zum Superintendenten von Barleben ernannt (bis 1928).",2358,139828117,1,1,http://www.deutsche-biographie.de/sfz21227.html
"Levi, Friedrich",1888 bis 1966,"L. begann seine Studien der Mathematik 1906/07 in Würzburg, wo er gleichzeitig als Einjähriger diente. Er studierte dann vier Jahre lang in Straßburg; hier interessierten ihn vor allem die von H. Weber vertretenen algebraischen Gegenstände. 1911 wurde er in Straßburg mit einer von Weber angeregten Arbeit über „Körper und Integritätsbereiche dritten Grades“ promoviert. Zu weiteren Studien ging L. anschließend nach Göttingen und Leipzig, wo er 1914 eine Habilitationsschrift über „Abelsche Gruppen mit abzählbaren Elementen“ einreichte. Mit Ausbruch des Weltkriegs 1914 war L. jedoch zunächst bis zum Kriegsende 1918 als bayer. Feldartillerist Soldat. So konnte seine Habilitation in Leipzig erst 1919 vollendet werden. Bis 1923 war L. in Leipzig Privatdozent und Assistent, danach bis 1935 apl. ao. Professor mit Lehrauftrag für Geometrie. In diesen Jahren befaßte sich L. eingehend mit Arbeiten geometrischer, topologischer und gruppentheoretischer Art, mehrmals auch in Zusammenarbeit mit seinem Freunde Reinhold Baer. Bekannt wurde er vor allem durch sein noch in Leipzig entstandenes Werk über „Geometrische Konfigurationen“ (1929), das als erstes die kombinatorische Flächentopologie darstellt und die ebenen und räumlichen Konfigurationen umfassend behandelt.Da die politischen Verhältnisse L. die weitere akademische Tätigkeit in Leipzig verwehrten, ging er Anfang 1936 als Hardinge Professor of Higher Mathematics an die Univ. Kalkutta nach Indien. Hier war er für 12 Jahre als Head of the post-graduate Department of Pure Mathematics tätig. L. erfreute sich in Indien hohen Ansehens; er wurde für mehrere Jahre zum Präsidenten der Indian Mathematical Society und der Bengal. Mathematischen Gesellschaft gewählt. Die Universitäten von Waltair, Dacca, Madras, Patna, Bangalore, Lucknow und Benares sahen ihn als Gastprofessor. Zugleich gehörte er verschiedenen zur Verbesserung des Lehr- und Prüfungssystems der ind. Universitäten eingesetzten Kommissionen an. 1948 nahm L. eine Professur an dem heute sehr angesehenen Tata Institute of Fundamental Research, School of Mathematics, in Bombay (Indien) an, bei dessen Aufbau er tatkräftig mitwirkte. Zugleich wirkte er an der Univ. Bombay als Mathematikdozent.Erst 1952 konnte L. nach Deutschland zurückkehren. Hier nahm er zuerst eine Gastprofessur an der FU Berlin an, die bald in ein Ordinariat verwandelt wurde. Auch nach seiner Emeritierung (1956) war L. noch lehrend und wissenschaftlich tätig. 70jährig übernahm er, zuerst als Gastprofessor, dann 1959 als Honorarprofessor an der Univ. Freiburg (Breisgau) die Vorlesungen des verstorbenen W. Süss. – Von den rund 70 wissenschaftlichen Veröffentlichungen befassen sich einige mit Fragen der Algebra, Zahlentheorie, Analysis und Geometrie. Seine hauptsächlichen Schriften aber behandeln Gegenstände der allgemeinen und der kombinatorischen Topologie und besonders der Gruppentheorie, die ihm eine Reihe bemerkenswerter Ergebnisse verdankt. Vier topologische und gruppentheoretische Arbeiten hat er in Zusammenarbeit mit R. Baer verfaßt.",3049,119282860,1,1,http://www.deutsche-biographie.de/sfz50825.html
"Holtzmann, Eugen",1848 bis 1901,"H. wuchs in Karlsruhe auf. Da seine Eltern frühzeitig starben, verließ er das Gymnasium und begann 1864 eine kaufmännische Laufbahn. Fühlung mit der Holzstoff- und Papierindustrie gewann er als Angestellter der Firma Kübler & Niethammer in Kriebstein (Sachsen), bei welcher er 1868 eintrat. Nach dem Feldzug von 1870/71, den er als Leutnant mitmachte, übernahm er in Breitenhof (Sachsen) eine Holzschleiferei, die er später zur Papierfabrik ausbaute und neben der er ein Hammergut betrieb. 1883 schloß H. mit August Fischer und Dr. Johannes Dorn, der 1886 durch Wilhelm Oechelhäuser abgelöst wurde, einen Gesellschaftsvertrag zur Errichtung einer Holzstoff- und Papierfabrik in Weisenbach (Baden) mit dem Ziel, die Wasserkraft der Murg und den Holzreichtum des nördlichen Schwarzwaldes zu nutzen. 1884 wurde die Firma E. Holtzmann & Cie., Weisenbach, ins Handelsregister eingetragen. Sie umfaßte die Werke Wolfsheck, Breitwies und Schlechtau. 1886 siedelte H. unter Fortführung seiner sächsischen Unternehmungen in seine badische Heimat über, um sich ganz der neuen Firma zu widmen, die einen glänzenden Aufschwung nahm. Nach H.s Tod übernahm sein Schwiegersohn Arwed Fischer die technische Leitung des Unternehmens. Durch Ausbau der Murg wurde zusätzliche Wasserkraft erschlossen. 1922 erfolgte die Umwandlung der bisherigen OHG in eine Familien-AG mit 4, 2 Millionen (heute 15,75 Millionen) Mark Aktienkapital. Das Schwergewicht der derzeitigen Produktion von jährlich weit mehr als 200 000 Tonnen liegt auf Zeitungspapier. Der durch Zuerwerb der Ettlingen-Maxau Papier- und Zellstoffwerke AG (1955) vergrößerte Konzern gehört zu den führenden Unternehmen im EWG-Bereich.H. war maßgeblich beteiligt an der Gründung des Verbandes Süddeutscher Holzstofffabrikanten. Ebenfalls seiner Tatkraft war es zu danken, daß 1900 der Verband Deutscher Druckpapierfabriken zustande kam, dessen Vorsitz er übernahm und der bis 1945 bestand. 1877-94 vertrat H. als nationalliberaler Abgeordneter den 21. sächsischen Wahlkreis Annaberg-Eibenstock im Reichstag. Eng befreundet mit Bennigsen, Oechelhäuser und →Gottlieb Klumpp (1829–1918), gehörte er zu den wirtschaftspolitischen Fachleuten seiner Fraktion.",2191,133217183,1,1,http://www.deutsche-biographie.de/sfz70187.html
"Lange, Ludwig",1863 bis 1936,"L. besuchte seit 1873 die Thomasschule in Leipzig und studierte seit 1882 in Leipzig, danach bis 1885 in Gießen und zuletzt wieder in Leipzig Physik und Mathematik, dazu Psychologie, Erkenntnistheorie und Ethik. 1885-87 war er Assistent bei W. Wundt in dessen Institut für experimentelle Psychologie in Leipzig, 1886 wurde er dort zum Dr. phil. promoviert. Seit 1887 litt er mehr und mehr unter einer Nervenkrankheit. Er befaßte sich 1888 erfolgreich mit der damals neuen Trockenplattenphotographie und besuchte, nachdem er einen umfangreichen Pergamentcodex des 10. Jh. für die Sächs. Gesellschaft der Wissenschaften aufgenommen und vervielfältigt hatte, photographische Fachschulen in Grönenbach und Wien. 1890 richtete er in Göttingen ein eigenes Photoatelier ein, das er 1892-95 in Elberfeld weiterbetrieb. Von da an lebte er als Privatgelehrter, verbrachte seine letzten zehn Lebensjahre in Heilbronn und verstarb in einer Heilanstalt.Während L.s spätere Schriften, unter anderem zur Kalenderreform, ohne Wirkung blieben, erwuchsen ihm aus den in Leipzig verfaßten Schriften „Über die wissenschaftliche Fassung des Galileischen Beharrungsgesetzes“ (in: Phil. Studien 2, 1885) und „Die geschichtliche Entwicklung des Bewegungsbegriffs und ihr voraussichtliches Endergebnis. Ein Beitrag zur historischen Kritik der mechanischen Prinzipien“ (1886) bleibende Verdienste. Diese Arbeiten befassen sich mit dem „absoluten Raum“ und der „absoluten Zeit“, welche Newton zur Begründung seiner Mechanik eingeführt hatte. An die Stelle dieser Begriffe, um deren logisch einwandfreie Festlegung sich fast alle Philosophen seit Newton vergeblich bemüht hatten, setzte L. als räumliches Bezugssystem das „Inertialsystem“ und entsprechend eine „Inertialzeit“. Beide sind definiert durch den Zweck, die Newtonsche Dynamik, insbesondere das Trägheitsprinzip, zu ermöglichen. Denn: Findet die Physik kein Bezugs- und kein Zeitsystem, in welchem diese sich empirisch bestätigt, so ist diese Mechanik falsch, findet sie aber ein solches System, so ist dieses als das „richtige“ legitimiert. Damit war der Weg zur empirischen Festlegung der Begriffe Inertialzeit und Inertialsystem vorgezeichnet, wobei sich nichts ändert, wenn man die spätere, relativistische Mechanik an die Stelle der Newtonschen setzt.",2289,116703954,1,1,http://www.deutsche-biographie.de/sfz47955.html
"Kayser, Hans",1891 bis 1964,"K. wuchs in Sigmaringen auf und empfing im Vaterhaus musische Anregungen, vor allem durch häufige Kammermusik der Familie, wobei er Cello spielte. Seit 1911 studierte er an der Berliner Musikhochschule (Komposition bei →Humperdinck, Cello), seit 1913 privat bei Arnold Schönberg.Seine vielseitigen Interessen bewogen K., den Musikerberuf aufzugeben und Kunstgeschichte zu studieren; er promovierte 1917 in Erlangen bei →Hans Preuß mit einer Dissertation über Fra Angelico.Nach verschiedenen beruflichen Betätigungen in Berlin machte er dem Insel-Verlag den Vorschlag zu einer Mystiker-Ausgabe und erhielt den Auftrag, eine Reihe „Der Dom – Bücher deutscher Mystik“ zu edieren (1919), in der bis 1927 13 Bände erschienen (die über Böhme und →Paracelsus von K. selbst). Der Kepler-Band (W. Harburger) dieser Reihe brachte K. mit der pythagoreisch-harmonikalen Tradition in Berührung, die er als wesensverwandt empfand und der er sich von da ab als Lebensaufgabe widmete. Bis 1933 lebte er nur von Nebenbeschäftigungen, um seine beiden ersten Bücher schreiben zu können. 1933 wurde er durch Gustav Fueter in die Schweiz geholt, wo dieser Mäzen und später andere K. die Möglichkeit zur Weiterarbeit gaben. K. lebte als Privatgelehrter mit seiner Familie in Ostermundigen, seit 1953 in Bolligen bei Bern. 1961 wurde ihm der oberschwäbische Kunstpreis verliehen.Außer durch Kepler wurde K. durch Albert von Thimus, dessen nahezu vergessenes Werk „Die harmonikale Symbolik des Alterthums“ er aufgriff, angeregt, die pythagoreische Idee einer auf akustisch-musikalischen Gesetzen beruhenden Weltharmonie wiederzubeleben und neu zu formulieren. Er war jedoch nicht wie Thimus rein philologisch und auch nicht wie Kepler rein naturwissenschaftlich orientiert, sondern sah in seiner „Kayserschen Harmonik“ einen wesentlichen Beitrag zur geistigen Situation der Gegenwart. Durch Einbeziehung neuer wissenschaftlicher Forschungen (zum Beispiel aus der Kristallographie und Botanik) und zusätzliche philosophische Perspektiven (zum Beispiel Tonzahl-Begriff) vergrößerte er die Basis, auf der ein harmonikales Weltbild aufgebaut werden kann, welches das naturwissenschaftliche ergänzt, insbesondere durch die Einbeziehung des Gehörssinnes in die Naturerkenntnis. K. verband außerdem den Gedanken der Weltharmonie mit der Mystik und der Philosophie des Deutschen Idealismus zu einer Synthese mit stark spekulativen Zügen.",2405,118721372,1,1,http://www.deutsche-biographie.de/sfz40286.html
"Schulten, Rudolf",1923 bis 1996,"S. studierte 1945-49 Mathematik und Physik an der Univ. Bonn und anschließend in Göttingen, wo er 1953 bei →Werner Heisenberg (1901–76) mit einer Berechnung der Kernmomente einiger leichter Kerne promoviert wurde. Er blieb weitere drei Jahre am Max-Planck-Institut für Theoretische Physik in Göttingen und arbeitete bei Heisenberg und →Karl Wirtz (1910–94) auf dem Gebiet der Neutronenphysik und Reaktortechnik. 1956 trat er in die Fa. „Brown, Boveri u. Cie.“ in Mannheim ein, übernahm 1957 die Leitung der Kernenergieabteilung und wurde Geschäftsführer der „Arbeitsgemeinschaft Versuchsreaktor“ (AVR), eines Zusammenschlusses kommunaler Energieversorger. 1964 wurde S.  Direktor des Instituts für Reaktorentwicklung der Kernforschungsanlage (KFA) Jülich (1969–72 Vors. d. Wiss.-Techn. Rates) und o. Professor für Reaktortechnik an der RWTH Aachen (Vizerektor 1983–86, em. 1989).S. entwickelte das Konzept eines heliumgekühlten Hochtemperaturreaktors (HTR) mit kugelförmigen, graphitummantelten Brennelementen. 1959 erfolgte der Auftrag zum Bau eines 15 MWe-Reaktors auf dem Gelände der KFA Jülich. Als Brennstoff wurde angereichertes Uran (235U) in Form von Uranoxid eingesetzt, das nach und nach durch aus Thorium erbrütetes 233U ersetzt werden sollte. Der Reaktorkern bestand aus 100 000 Graphitkugeln (Durchmesser 6 cm), deren jede 40 000 Brennelementkügelchen enthielt. Dieser „Kugelhaufenreaktor“ war eine Erfindung von S. Erging 1967 ans Netz und lief bis 1988, im Mittel mit 66% der Volllast bei einer Betriebstemperatur von 950° C. Der HTR besaß mehrere technische Vorzüge und Besonderheiten. Er erlaubte die Nutzung von Prozeßwärme für chemisch-technische Anwendungen, das als Kühlmittel verwendete Helium war nicht radioaktiv und konnte eine Turbine direkt antreiben. ohne sekundären Dampfkreislauf. Der Reaktor besaß einen negativen Temperaturkoeffizienten, d. h. er schaltete sich bei steigender Betriebstemperatur selbsttätig ab. 1972 wurde der Bau eines 300 MWe-Reaktors, genannt THTR-300 beschlossen. Der Reaktor wurde von einem Industriekonsortium in Hamm-Uentrop errichtet und ging 1985 ans Netz. Er war drei Jahre in Betrieb, erreichte seine Nennleistung von 296 MWe, lief über Monate bei 60% Vollast und lieferte 3 Mrd. KWh ans Netz. Nachdem bei einer Betriebsprüfung 1988 im Heliumkreislauf mechanische Mängel festgestellt worden waren, wurde dem Betreiberkonsortium die Betriebsgenehmigung entzogen, und 1989 erging der Still-legungsbeschluß. Der HTR-Reaktortyp ist großteils eine dt. Eigenentwicklung; in den letzten Jahren wurden u. a. in Japan, Südafrika und China derartige Reaktoren konzipiert oder in Betrieb genommen.",2646,171932498,1,1,http://www.deutsche-biographie.de/sfz117373.html
"Selve, Gustav",1842 bis 1909,"S. genoß eine theoretische Ausbildung auf der Gewerbeschule in Iserlohn und eine praktische bei verschiedenen Unternehmen in Lüdenscheid. Danach trat er bei „Basse & Selve“ ein und wurde 1872 Teilhaber und Geschäftsführer, seit 1883 Alleininhaber. Er baute die Firma zu einem Unternehmen von europ. Dimension aus, indem er 1874/75 die Verhüttung von Nickelerzen aus Neukaledonien aufnahm (größte Nickelhütte Dtlds.) und begann, immer neue Nichteisenmetalle und Metallegierungen zu verarbeiten oder einzuführen, z. B. Tombak, Neusilber und Aluminium. Das Unternehmen stellte Drähte, Rohre, Bleche und Stangen sowie zahlreiche andere Endprodukte her. Zu den wichtigsten Erzeugnissen gehörten Patronenhülsen und Münzrohlinge, wofür S. auch Aufträge ausländischer Regierungen erhielt. S. erwarb oder baute weitere Werke im märk. Sauerland (Altena seit 1869 Firmensitz), in Sachsen, Ostpreußen und im Rheinland. In Thun entstanden die „Schweizerischen Metallwerke“. Das 1870 gegründete Werk in Donnaz (Italien) wurde später von seinen Brüdern Fritz und August weitergeführt. Der Konzern beschäftigte bei S.s Tod fast 3000 Mitarbeiter. 1879–1903 war S. Vorsitzender des „Vereins Deutscher Messingwerke“, einem kartellartigen Zusammenschluß zur Festlegung von Preisen und Produktionsquoten. Der Verein galt auch bei Konkurrenten geradezu als S.s Gründung, er brach aber aufgrund von Interessengegensätzen wieder auseinander. S.s überdurchschnittlich starkes sozialpolitisches Engagement für Arbeiterwohnungsbau, Unterstützungskassen, Konsumanstalt, Fabriksparkasse, Kleinkinderschule usw. hatte einen patriarchalischen Grundzug und fand überregionale Aufmerksamkeit. S. gehörte dem Präsidium der „Zentralstelle zur Bekämpfung der Tuberkulose“ an und stiftete 100 000 Mark für die Errichtung einer der ersten dt. Lungenheilstätten in Lüdenscheid (1897). Monarchisch-national eingestellt, unterstützte S. bei Wahlen die nationalliberalen Kandidaten und ließ 1895 in Altena das erste Bismarck-Denkmal in der Provinz Westfalen aufstellen. Er selbst wirkte seit 1885 als Stadtverordneter in Altena, wo er dank seines Vermögens zeitweise allein die gesamte erste Klasse der Stadtverordnetenversammlung besetzen konnte; 1909 stand er in der Liste der reichsten Preußen auf Platz 33. Emissionen seiner Werke und Bauangelegenheiten verursachten scharfe Konflikte mit der Stadtverwaltung. 1896 verließ S. seine herrschaftliche Villa „Alpenburg“ in Altena und zog nach Honnef, später nach Bonn um. ",2480,189539097,1,1,http://www.deutsche-biographie.de/sfz121157.html
"Radon, Johann",1887 bis 1956,"Nach dem Besuch des Gymnasiums in Leitmeritz studierte R. seit 1905 Mathematik an der Univ. Wien, wo ihn v. a. Gustav v. Escherich (1849–1935) beeinflußte. 1909 legte er die Lehramtsprüfung für Mathematik und Physik ab und wurde 1910 mit einer Arbeit über hinreichende Bedingungen für ein Minimum in einem Variationsproblem, wenn nur die erste Ableitung im Integranten vorhanden ist, promoviert (SB d. Ak. d. Wiss. Wien 119, 1910, S. 1257-326). Das Wintersemester 1910/11 verbrachte er in Göttingen, wo er bei David Hubert und Hermann Weyl hörte. 1911/12 war er Assistent an der Dt. TH Brünn bei Heinrich Tietze und Ernst Fischer (1875–1954), 1912-19 Assistent bei Emanuel Czuber (1881–1920) an der TH Wien. 1913 habilitierte R. sich an der Univ. Wien mit der grundlegenden Arbeit „Theorie und Anwendungen der absolut additiven Mengenfunktionen“ (SB d. Ak. d. Wiss. Wien 122, 1913, S. 1295-438). 1915 wurde er Privatdozent für Mathematik an der TH. 1919 erhielt er einen Ruf als Extraordinarius an die neugegründete Univ. Hamburg, 1922 als Ordinarius nach Greifswald. 1925 nach Erlangen und 1928 nach Breslau. 1945 verlor bei der Flucht vor den herannahenden russ. Truppen seinen gesamten Besitz. 1945/46 vertrat R. an der Univ. Innsbruck einen Lehrstuhl, von 1946 bis zu seinem Tod wirkte er an der Univ. Wien (1951/52 Dekan, 1954/55 Rektor).Dank seiner Fähigkeit, rein abstrakte Untersuchungen mit anschaulich-geometrischen Fragestellungen zu verbinden, lieferte R. wesentliche Beiträge zur Funktionalanalysis, zur affinen und Differentialgeometrie sowie zu Potential- und Variationsrechung und erkannte Zusammenhänge mit der Mechanik und Relativitätstheorie (Über stat. Gravitationsfelder, in: Hamburger Abhh. 1, 1922, S. 268-80; Zur mechan. Kubatur, in: Mhh. f. Math. 52, 1948, S. 286-300). Bereits in der Habilitationsschrift erscheint seine Erweiterung des Integralbegriffs („Radon-Nikodym-Integral“). Besonders bekannt wurde seine Arbeit „Über die Bestimmung von Funktionen durch ihre Integralwerte längs gewisser Mannigfaltigkeiten“ (Leipziger Berr. 69, 1917, S. 262-77), die wesentlich später als Grundlage der Computertomographie diente. Auch seine Betrachtungen über Philosophie und Erkenntnistheorie sind lesenswert (Math. u. Naturerkenntnis, 1954, s. Collected|Papers S. 449-56). Mit seinen ausgezeichneten Vorlesungen beeinflußte R. zahlreiche angehende Mathematiker. Manche seiner Ideen wurden erst in jüngster Zeit in ihrer Bedeutung erkannt, etwa die „Radonkurven“ und „Radonpartitionen“.|",2506,118831224,1,1,http://www.deutsche-biographie.de/sfz104177.html
"Höfer von Heimhalt, Hans",1843 bis 1924,"Nach Abschluß der Realschule besuchte H. als Student des Berg- und Hüttenwesens die Bergakademie in Leoben, die er 1864 als Absolvent verließ. Seine Neigung zu Geologie und Mineralogie ließ ihn die bergmännische Berufslaufbahn wählen, die er in Siebenbürgen begann und in Böhmen fortsetzte. 1867 trat er in den Dienst der Geologischen Reichsanstalt Wien, und 1869 übernahm er die Leitung der neugegründeten Bergschule in Klagenfurt, die er bis 1879 innehatte. Während dieser Zeit nahm er an der Vorbereitung der Nordpolexpedition des Graf Wilczek teil, wodurch er 1872 Spitzbergen und Nordrußland kennenlernte. – Entscheidend für H.s wissenschaftlichen Weg wurde seine Reise 1876 zur Weltausstellung in Philadelphia, wohin er vom Handelsministerium als Berichterstatter über das amerikanische Bergwesen geschickt wurde. Dies brachte ihn dazu, sich mit dem amerikanischen Erdölwesen zu befassen. 1879-81 wirkte er als Professor der Bergbaukunde an der Bergakademie Přibram und anschließend bis 1910 als Professor für Mineralogie, Geologie, Paläontologie und Lagerstättenlehre an der Montanistischen Hochschule Leoben. Nach der Emeritierung lebte er in Wien, bis in die späten Lebensjahre als Berater in erdölgeologischen Fragen herangezogen.H. hat der angewandten geologischen Wissenschaft in Österreich und darüber hinaus in Europa entscheidende Impulse gegeben. Zu den wesentlichen Merkmalen seiner Leistung gehört die Verknüpfung von Wissenschaft und ihrer Anwendung, die damals eigentlich traditionsgemäß nur in Freiberg und in Leoben verwirklicht war. Der größte Erfolg H.s lag in der in Amerika gewonnenen Erkenntnis, daß viele Erdöllagerstätten an kuppelförmige Schichtaufwölbungen geknüpft sind. Dieser als Antiklinaltheorie bezeichneten Vorstellung, schon früher von dem Amerikaner Hunt ausgesprochen, doch ganz in Vergessenheit geraten, hat H. wissenschaftliche Begründung und Geltung verschafft. Er hat damit die erste gültige Regel aufgezeigt, wie man Erdöllagerstätten suchen kann, von denen man an der Oberfläche keine Anzeichen bemerkt. Außerdem hat H. die Hydrogeologie, die Lehre von den Verwerfungen, die Eiszeitkunde und andere mehr gepflegt.|",2161,116924233,1,1,http://www.deutsche-biographie.de/sfz32806.html
