name,date,leben,lengthleben,idn,iplace,ibio,url
,,,0,,0,0,http://www.deutsche-biographie.de/pnd11927518X.html
"Ringe, Christoph Gottfried",1713 - 1797,,0,104211210,0,0,http://www.deutsche-biographie.de/pnd104211210.html
"Ritter, Kaspar",1563-1598,,0,133656519,1,0,http://www.deutsche-biographie.de/pnd133656519.html
"Ringier, Martha",1874 - 1967,,0,116550775,1,0,http://www.deutsche-biographie.de/pnd116550775.html
"Roberti, Ercole de'",1450 - 1496,,0,11883570X,0,0,http://www.deutsche-biographie.de/pnd11883570X.html
"Riett, Ludwig",1559 - ,,0,1019755156,1,0,http://www.deutsche-biographie.de/pnd1019755156.html
"Riemschneider, Adolf Wilhelm",1786 - 1833,,0,116543841,0,0,http://www.deutsche-biographie.de/pnd116543841.html
"Rischbieter, Henning",1927 - 2013,,0,116557990,0,0,http://www.deutsche-biographie.de/pnd116557990.html
"Robert, Louis",1883[19. Jh.],,0,1042038147,1,0,http://www.deutsche-biographie.de/pnd1042038147.html
"Rikli, Martin",1868 bis 1951,,0,116547529,1,0,http://www.deutsche-biographie.de/pnd126410550.html
"Robert <I., Bourgogne, Duc>",[ca. 1007-1075],,0,100959490,0,0,http://www.deutsche-biographie.de/pnd100959490.html
"Rivetta, Pietro Silvio",1886 - 1952,,0,128780983,0,0,http://www.deutsche-biographie.de/pnd128780983.html
"Rischer, Wolfgang",1935 - ,,0,141791233,1,0,http://www.deutsche-biographie.de/pnd141791233.html
"Rife, Patricia",1957 - ,,0,133105261,0,0,http://www.deutsche-biographie.de/pnd133105261.html
"Rilke, Sophie",1851 - 1931,,0,119060361,0,0,http://www.deutsche-biographie.de/pnd119060361.html
"Ritzel, Ulrich",1940 - ,,0,121395561,1,0,http://www.deutsche-biographie.de/pnd121395561.html
"Robert <Roubaix, Marquis>",1550 - 1585,,0,132303655,0,0,http://www.deutsche-biographie.de/pnd132303655.html
